,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Outstanding Shares,Market Cap,Date Numeric
52,UAL,2016-01-04,55.790001,56.34,51.759998,51.889999,51.889999,30039400.0,372810000.0,19345110527.190002,1451865600000000000
53,UAL,2016-01-11,52.200001,52.549999,44.93,45.669998,45.669998,47275300.0,372810000.0,17026231954.38,1452470400000000000
54,UAL,2016-01-18,46.509998,47.73,42.169998,46.720001,46.720001,38951700.0,372810000.0,17417683572.81,1453075200000000000
55,UAL,2016-01-25,46.91,49.41,45.27,48.279999,48.279999,36135600.0,372810000.0,17999266427.19,1453680000000000000
56,UAL,2016-02-01,47.709999,49.200001,45.049999,46.860001,46.860001,31200200.0,372810000.0,17469876972.809998,1454284800000000000
57,UAL,2016-02-08,45.900002,48.799999,44.0,48.349998,48.349998,33848900.0,372810000.0,18025362754.38,1454889600000000000
58,UAL,2016-02-15,48.720001,55.060001,47.799999,53.82,53.82,24116300.0,372810000.0,20064634200.0,1455494400000000000
59,UAL,2016-02-22,54.130001,57.169998,53.959999,56.580002,56.580002,25731100.0,372810000.0,21093590545.62,1456099200000000000
60,UAL,2016-02-29,56.380001,58.950001,56.009998,58.0,58.0,26627700.0,372810000.0,21622980000.0,1456704000000000000
61,UAL,2016-03-07,57.549999,58.41,55.290001,58.369999,58.369999,24152800.0,372810000.0,21760919327.19,1457308800000000000
62,UAL,2016-03-14,58.0,60.669998,57.419998,60.41,60.41,22998500.0,372810000.0,22521452100.0,1457913600000000000
63,UAL,2016-03-21,60.380001,61.41,57.200001,57.84,57.84,18739900.0,372810000.0,21563330400.0,1458518400000000000
64,UAL,2016-03-28,57.950001,61.389999,56.189999,56.720001,56.720001,23991100.0,372810000.0,21145783572.81,1459123200000000000
65,UAL,2016-04-04,56.59,57.599998,52.93,53.080002,53.080002,20877100.0,372810000.0,19788755545.62,1459728000000000000
66,UAL,2016-04-11,53.380001,57.84,53.279999,56.900002,56.900002,18409800.0,372810000.0,21212889745.62,1460332800000000000
67,UAL,2016-04-18,57.779999,58.900002,50.200001,50.740002,50.740002,46702900.0,372810000.0,18916380145.62,1460937600000000000
68,UAL,2016-04-25,51.060001,51.450001,45.580002,45.810001,45.810001,35528700.0,372810000.0,17078426472.81,1461542400000000000
69,UAL,2016-05-02,46.610001,47.540001,44.009998,45.700001,45.700001,35822300.0,372810000.0,17037417372.81,1462147200000000000
70,UAL,2016-05-09,45.880001,47.400002,43.330002,43.84,43.84,28162100.0,372810000.0,16343990400.000002,1462752000000000000
71,UAL,2016-05-16,44.32,46.279999,43.509998,44.490002,44.490002,25335300.0,372810000.0,16586317645.619999,1463356800000000000
72,UAL,2016-05-23,44.540001,45.939999,44.139999,45.18,45.18,19609500.0,372810000.0,16843555800.0,1463961600000000000
73,UAL,2016-05-30,45.130001,45.59,43.599998,44.299999,44.299999,19057900.0,372810000.0,16515482627.19,1464566400000000000
74,UAL,2016-06-06,44.200001,46.91,43.529999,46.080002,46.080002,24844600.0,372810000.0,17179085545.62,1465171200000000000
75,UAL,2016-06-13,45.59,45.880001,41.459999,42.619999,42.619999,37503800.0,372810000.0,15889161827.19,1465776000000000000
76,UAL,2016-06-20,43.07,45.919998,41.040001,41.060001,41.060001,34219800.0,372810000.0,15307578972.81,1466380800000000000
77,UAL,2016-06-27,40.639999,41.799999,37.41,41.369999,41.369999,39247900.0,372810000.0,15423149327.19,1466985600000000000
78,UAL,2016-07-04,40.799999,41.73,37.639999,41.48,41.48,23293100.0,372810000.0,15464158799.999998,1467590400000000000
79,UAL,2016-07-11,41.880001,47.939999,41.720001,47.43,47.43,32819500.0,372810000.0,17682378300.0,1468195200000000000
80,UAL,2016-07-18,47.580002,49.869999,46.02,47.57,47.57,27607100.0,372810000.0,17734571700.0,1468800000000000000
81,UAL,2016-07-25,47.52,48.110001,46.73,46.889999,46.889999,17133800.0,372810000.0,17481060527.190002,1469404800000000000
82,UAL,2016-08-01,46.77,48.48,44.150002,48.41,48.41,24715300.0,372810000.0,18047732100.0,1470009600000000000
83,UAL,2016-08-08,48.389999,49.470001,46.529999,47.099998,47.099998,17459200.0,372810000.0,17559350254.38,1470614400000000000
84,UAL,2016-08-15,47.16,48.48,46.939999,47.09,47.09,17964000.0,372810000.0,17555622900.0,1471219200000000000
85,UAL,2016-08-22,46.950001,47.959999,46.560001,46.869999,46.869999,12505400.0,372810000.0,17473604327.19,1471824000000000000
86,UAL,2016-08-29,47.060001,51.529999,46.810001,51.09,51.09,28280200.0,372810000.0,19046862900.0,1472428800000000000
87,UAL,2016-09-05,50.970001,54.529999,50.77,52.450001,52.450001,21637900.0,372810000.0,19553884872.81,1473033600000000000
88,UAL,2016-09-12,51.689999,53.439999,50.369999,51.0,51.0,29710900.0,372810000.0,19013310000.0,1473638400000000000
89,UAL,2016-09-19,51.139999,52.040001,49.299999,50.950001,50.950001,20848500.0,372810000.0,18994669872.81,1474243200000000000
90,UAL,2016-09-26,50.529999,52.93,49.279999,52.470001,52.470001,23428800.0,372810000.0,19561341072.81,1474848000000000000
91,UAL,2016-10-03,52.240002,55.25,52.0,52.82,52.82,17980600.0,372810000.0,19691824200.0,1475452800000000000
92,UAL,2016-10-10,53.060001,54.939999,51.34,53.200001,53.200001,30742100.0,372810000.0,19833492372.81,1476057600000000000
93,UAL,2016-10-17,53.450001,56.810001,52.439999,55.599998,55.599998,38745100.0,372810000.0,20728235254.38,1476662400000000000
94,UAL,2016-10-24,55.91,56.25,52.209999,55.110001,55.110001,22130500.0,372810000.0,20545559472.809998,1477267200000000000
95,UAL,2016-10-31,55.619999,57.689999,54.970001,57.23,57.23,22716200.0,372810000.0,21335916300.0,1477872000000000000
96,UAL,2016-11-07,57.959999,61.599998,57.549999,60.25,60.25,24783300.0,372810000.0,22461802500.0,1478476800000000000
97,UAL,2016-11-14,60.540001,68.470001,60.369999,68.290001,68.290001,31898000.0,372810000.0,25459195272.81,1479081600000000000
98,UAL,2016-11-21,68.220001,70.18,67.760002,70.089996,70.089996,19162400.0,372810000.0,26130251408.76,1479686400000000000
99,UAL,2016-11-28,69.949997,70.150002,67.580002,69.269997,69.269997,17458500.0,372810000.0,25824547581.57,1480291200000000000
100,UAL,2016-12-05,69.910004,76.129997,68.0,75.169998,75.169998,19854100.0,372810000.0,28024126954.38,1480896000000000000
101,UAL,2016-12-12,74.300003,76.800003,72.0,74.419998,74.419998,21043400.0,372810000.0,27744519454.38,1481500800000000000
102,UAL,2016-12-19,74.25,76.309998,73.769997,74.790001,74.790001,10888600.0,372810000.0,27882460272.81,1482105600000000000
103,UAL,2016-12-26,74.779999,75.220001,72.370003,72.879997,72.879997,6032400.0,372810000.0,27170391681.57,1482710400000000000
104,UAL,2017-01-02,74.019997,74.019997,69.75,71.370003,71.370003,11944000.0,372810000.0,26607450818.43,1483315200000000000
105,UAL,2017-01-09,71.059998,76.75,70.879997,74.32,74.32,17762700.0,372810000.0,27707239199.999996,1483920000000000000
106,UAL,2017-01-16,73.940002,75.480003,72.410004,75.239998,75.239998,14454700.0,372810000.0,28050223654.38,1484524800000000000
107,UAL,2017-01-23,74.660004,76.0,72.639999,74.419998,74.419998,19684500.0,372810000.0,27744519454.38,1485129600000000000
108,UAL,2017-01-30,72.989998,73.25,69.339996,73.059998,73.059998,18398000.0,372810000.0,27237497854.379997,1485734400000000000
109,UAL,2017-02-06,73.400002,74.779999,70.730003,72.599998,72.599998,17579100.0,372810000.0,27066005254.38,1486339200000000000
110,UAL,2017-02-13,72.849998,76.300003,72.0,75.959999,75.959999,14913500.0,372810000.0,28318647227.19,1486944000000000000
111,UAL,2017-02-20,75.900002,76.459999,73.540001,75.080002,75.080002,11390700.0,372810000.0,27990575545.62,1487548800000000000
112,UAL,2017-02-27,74.910004,76.650002,73.209999,75.589996,75.589996,15736800.0,372810000.0,28180706408.76,1488153600000000000
113,UAL,2017-03-06,74.849998,74.849998,71.639999,72.339996,72.339996,21456100.0,372810000.0,26969073908.76,1488758400000000000
114,UAL,2017-03-13,72.190002,72.699997,64.32,66.790001,66.790001,40957800.0,372810000.0,24899980272.81,1489363200000000000
115,UAL,2017-03-20,67.150002,68.559998,64.160004,67.93,67.93,21249400.0,372810000.0,25324983300.000004,1489968000000000000
116,UAL,2017-03-27,66.720001,71.190002,66.260002,70.639999,70.639999,16195100.0,372810000.0,26335298027.190002,1490572800000000000
117,UAL,2017-04-03,70.690002,71.419998,69.419998,70.879997,70.879997,12591400.0,372810000.0,26424771681.57,1491177600000000000
118,UAL,2017-04-10,70.550003,72.099998,68.360001,69.07,69.07,33965000.0,372810000.0,25749986699.999996,1491782400000000000
119,UAL,2017-04-17,69.510002,70.980003,67.550003,69.559998,69.559998,29911000.0,372810000.0,25932662854.379997,1492387200000000000
120,UAL,2017-04-24,70.5,72.07,68.620003,70.209999,70.209999,21319900.0,372810000.0,26174989727.19,1492992000000000000
121,UAL,2017-05-01,70.559998,75.360001,70.239998,75.300003,75.300003,16494900.0,372810000.0,28072594118.43,1493596800000000000
122,UAL,2017-05-08,75.339996,79.150002,74.769997,76.410004,76.410004,17063800.0,372810000.0,28486413591.24,1494201600000000000
123,UAL,2017-05-15,76.199997,79.099998,75.620003,77.980003,77.980003,20158300.0,372810000.0,29071724918.43,1494806400000000000
124,UAL,2017-05-22,78.440002,81.959999,78.370003,81.25,81.25,12418000.0,372810000.0,30290812500.0,1495411200000000000
125,UAL,2017-05-29,80.900002,83.040001,78.559998,82.029999,82.029999,11617000.0,372810000.0,30581603927.190002,1496016000000000000
